"n","pi","mu","r","Weight","Power","MCSE"
500,0.2,1.5,3,"Uniform",0,0
500,0.2,1.5,3,"Central",8e-04,0.000399839967987194
500,0.2,1.5,3,"Tail",0.508,0.00707016265725195
500,0.2,1.5,5,"Uniform",0,0
500,0.2,1.5,5,"Central",0,0
500,0.2,1.5,5,"Tail",0.767,0.00597847806720072
500,0.2,1.5,8,"Uniform",0,0
500,0.2,1.5,8,"Central",0,0
500,0.2,1.5,8,"Tail",0.9074,0.00409939605307904
500,0.3,0.5,1,"Uniform",0,0
500,0.3,0.5,1,"Central",0.0488,0.00304691844328003
500,0.3,0.5,1,"Tail",0.0654,0.00349636496950762
500,0.3,0.5,2,"Uniform",0,0
500,0.3,0.5,2,"Central",0.0322,0.00249652398346181
500,0.3,0.5,2,"Tail",0.0966,0.00417776112289824
500,0.3,0.5,3,"Uniform",0,0
500,0.3,0.5,3,"Central",0.0226,0.00210186774084384
500,0.3,0.5,3,"Tail",0.1242,0.004664211830524
500,0.3,0.5,5,"Uniform",0,0
500,0.3,0.5,5,"Central",0.014,0.00166156552684509
500,0.3,0.5,5,"Tail",0.17,0.00531224999411737
500,0.3,0.5,8,"Uniform",0,0
500,0.3,0.5,8,"Central",0.0094,0.00136467138901642
500,0.3,0.5,8,"Tail",0.243,0.00606549256037793
500,0.3,1,1,"Uniform",0,0
500,0.3,1,1,"Central",0.0276,0.00231681850821336
500,0.3,1,1,"Tail",0.1072,0.00437511508420064
500,0.3,1,2,"Uniform",0,0
500,0.3,1,2,"Central",0.0076,0.00122818891055082
500,0.3,1,2,"Tail",0.2592,0.0061970212199088
500,0.3,1,3,"Uniform",0,0
