"n","Perturbation","x0","eta","c","r","Weight","Kappa","Lambda","Empirical_Power","MCSE","Theoretical_Power","Zero_Kappa"
50,"Oscillatory",NA,NA,1,2,"Central",3.47782333417008e-17,3.47782333417008e-17,0.046,0.00296256645495084,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,2,"Tail",-5.61365292553813e-17,-5.61365292553813e-17,0.0424,0.00284963997726029,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,3,"Uniform",-7.53954689429551e-19,-7.53954689429551e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,3,"Central",3.47782333417008e-17,3.47782333417008e-17,0.0508,0.00310545842026584,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,3,"Tail",-5.61365292553813e-17,-5.61365292553813e-17,0.051,0.00311123769583746,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,5,"Uniform",-7.53954689429551e-19,-7.53954689429551e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,5,"Central",3.47782333417008e-17,3.47782333417008e-17,0.0452,0.00293792307591605,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,5,"Tail",-5.61365292553813e-17,-5.61365292553813e-17,0.0506,0.00309966578843591,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,8,"Uniform",-7.53954689429551e-19,-7.53954689429551e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,8,"Central",3.47782333417008e-17,3.47782333417008e-17,0.0458,0.00295642892693195,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,8,"Tail",-5.61365292553813e-17,-5.61365292553813e-17,0.0444,0.00291302729132427,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,1,"Uniform",-7.53954689429551e-19,-1.13093203414433e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,1,"Central",3.47782333417008e-17,5.21673500125512e-17,0.0544,0.0032075111847038,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,1,"Tail",-5.61365292553813e-17,-8.42047938830719e-17,0.0452,0.00293792307591605,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,2,"Uniform",-7.53954689429551e-19,-1.13093203414433e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,2,"Central",3.47782333417008e-17,5.21673500125512e-17,0.0504,0.00309385972532693,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,2,"Tail",-5.61365292553813e-17,-8.42047938830719e-17,0.0416,0.00282380735886852,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,3,"Uniform",-7.53954689429551e-19,-1.13093203414433e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,3,"Central",3.47782333417008e-17,5.21673500125512e-17,0.0532,0.00317394895989208,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,3,"Tail",-5.61365292553813e-17,-8.42047938830719e-17,0.0516,0.00312849612433834,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,5,"Uniform",-7.53954689429551e-19,-1.13093203414433e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,5,"Central",3.47782333417008e-17,5.21673500125512e-17,0.0444,0.00291302729132427,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,5,"Tail",-5.61365292553813e-17,-8.42047938830719e-17,0.0476,0.00301112072159188,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,8,"Uniform",-7.53954689429551e-19,-1.13093203414433e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,8,"Central",3.47782333417008e-17,5.21673500125512e-17,0.0386,0.00272433624943765,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1.5,8,"Tail",-5.61365292553813e-17,-8.42047938830719e-17,0.0404,0.00278452293939195,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,1,"Uniform",-7.53954689429551e-19,-1.5079093788591e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,1,"Central",3.47782333417008e-17,6.95564666834016e-17,0.0534,0.00317957355631223,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,1,"Tail",-5.61365292553813e-17,-1.12273058510763e-16,0.0444,0.00291302729132427,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,2,"Uniform",-7.53954689429551e-19,-1.5079093788591e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,2,"Central",3.47782333417008e-17,6.95564666834016e-17,0.05,0.00308220700148449,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,2,"Tail",-5.61365292553813e-17,-1.12273058510763e-16,0.049,0.00305283474822991,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,3,"Uniform",-7.53954689429551e-19,-1.5079093788591e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,3,"Central",3.47782333417008e-17,6.95564666834016e-17,0.0536,0.00318518570887162,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,3,"Tail",-5.61365292553813e-17,-1.12273058510763e-16,0.0454,0.00294410733499986,0.0500000000000001,TRUE
