"n","x0","delta","r","Weight","Power","MCSE"
200,0.25,0.1,8,"Uniform",0,0
200,0.25,0.1,8,"Central",0.055,0.0032241277890307
200,0.25,0.1,8,"Tail",0.0448,0.00292550713552369
200,0.25,0.2,1,"Uniform",0,0
200,0.25,0.2,1,"Central",0.085,0.003943982758583
200,0.25,0.2,1,"Tail",0.027,0.00229220417938717
200,0.25,0.2,2,"Uniform",0,0
200,0.25,0.2,2,"Central",0.0724,0.00366492128155572
200,0.25,0.2,2,"Tail",0.0352,0.00260618341641566
200,0.25,0.2,3,"Uniform",0,0
200,0.25,0.2,3,"Central",0.0632,0.00344109749934523
200,0.25,0.2,3,"Tail",0.039,0.00273784586856163
200,0.25,0.2,5,"Uniform",0,0
200,0.25,0.2,5,"Central",0.051,0.00311123769583746
200,0.25,0.2,5,"Tail",0.05,0.00308220700148449
200,0.25,0.2,8,"Uniform",0,0
200,0.25,0.2,8,"Central",0.038,0.0027039230758289
200,0.25,0.2,8,"Tail",0.0606,0.00337424480439698
200,0.25,0.4,1,"Uniform",0,0
200,0.25,0.4,1,"Central",0.1222,0.00463178496910208
200,0.25,0.4,1,"Tail",0.0226,0.00210186774084384
200,0.25,0.4,2,"Uniform",0,0
200,0.25,0.4,2,"Central",0.0842,0.00392709460033751
200,0.25,0.4,2,"Tail",0.0386,0.00272433624943765
200,0.25,0.4,3,"Uniform",0,0
200,0.25,0.4,3,"Central",0.0696,0.00359877312427444
200,0.25,0.4,3,"Tail",0.048,0.00302311098043059
200,0.25,0.4,5,"Uniform",0,0
200,0.25,0.4,5,"Central",0.045,0.00293172304285381
200,0.25,0.4,5,"Tail",0.0664,0.00352110891623647
200,0.25,0.4,8,"Uniform",0,0
200,0.25,0.4,8,"Central",0.0218,0.00206517602155361
200,0.25,0.4,8,"Tail",0.0918,0.0040834485425924
200,0.5,0.05,1,"Uniform",0,0
200,0.5,0.05,1,"Central",0.056,0.00325158422926425
200,0.5,0.05,1,"Tail",0.0496,0.00307049963361014
200,0.5,0.05,2,"Uniform",0,0
200,0.5,0.05,2,"Central",0.0464,0.00297479545515318
200,0.5,0.05,2,"Tail",0.0532,0.00317394895989208
200,0.5,0.05,3,"Uniform",0,0
200,0.5,0.05,3,"Central",0.0514,0.00312275647465504
200,0.5,0.05,3,"Tail",0.0496,0.00307049963361014
200,0.5,0.05,5,"Uniform",0,0
200,0.5,0.05,5,"Central",0.0484,0.00303504332753257
200,0.5,0.05,5,"Tail",0.0592,0.0033375248313683
200,0.5,0.05,8,"Uniform",0,0
200,0.5,0.05,8,"Central",0.0562,0.00325704037432759
200,0.5,0.05,8,"Tail",0.0504,0.00309385972532693
200,0.5,0.1,1,"Uniform",0,0
200,0.5,0.1,1,"Central",0.0592,0.0033375248313683
200,0.5,0.1,1,"Tail",0.0488,0.00304691844328003
200,0.5,0.1,2,"Uniform",0,0
200,0.5,0.1,2,"Central",0.0552,0.0032296427046966
200,0.5,0.1,2,"Tail",0.051,0.00311123769583746
200,0.5,0.1,3,"Uniform",0,0
200,0.5,0.1,3,"Central",0.0536,0.00318518570887162
200,0.5,0.1,3,"Tail",0.0576,0.00329491244193226
200,0.5,0.1,5,"Uniform",0,0
200,0.5,0.1,5,"Central",0.0514,0.00312275647465504
200,0.5,0.1,5,"Tail",0.0564,0.00326248494249399
200,0.5,0.1,8,"Uniform",0,0
200,0.5,0.1,8,"Central",0.0544,0.0032075111847038
200,0.5,0.1,8,"Tail",0.0536,0.00318518570887162
200,0.5,0.2,1,"Uniform",0,0
200,0.5,0.2,1,"Central",0.0658,0.00350629034736144
200,0.5,0.2,1,"Tail",0.0518,0.0031342227106573
200,0.5,0.2,2,"Uniform",0,0
200,0.5,0.2,2,"Central",0.0618,0.00340531232047811
200,0.5,0.2,2,"Tail",0.0552,0.0032296427046966
200,0.5,0.2,3,"Uniform",0,0
200,0.5,0.2,3,"Central",0.0708,0.00362732297982962
200,0.5,0.2,3,"Tail",0.0636,0.0034512328232097
200,0.5,0.2,5,"Uniform",0,0
200,0.5,0.2,5,"Central",0.0622,0.00341558662604244
200,0.5,0.2,5,"Tail",0.0668,0.00353094208392038
200,0.5,0.2,8,"Uniform",0,0
200,0.5,0.2,8,"Central",0.0612,0.00338982477423244
200,0.5,0.2,8,"Tail",0.06,0.00335857112474933
200,0.5,0.4,1,"Uniform",0,0
200,0.5,0.4,1,"Central",0.1116,0.00445298641363299
200,0.5,0.4,1,"Tail",0.0772,0.00377465654066698
200,0.5,0.4,2,"Uniform",0,0
200,0.5,0.4,2,"Central",0.0962,0.00417002541958679
200,0.5,0.4,2,"Tail",0.0674,0.00354562378150869
200,0.5,0.4,3,"Uniform",0,0
200,0.5,0.4,3,"Central",0.0998,0.00423886682970815
200,0.5,0.4,3,"Tail",0.072,0.00365557109081468
200,0.5,0.4,5,"Uniform",0,0
200,0.5,0.4,5,"Central",0.0824,0.00388870775451177
200,0.5,0.4,5,"Tail",0.0606,0.00337424480439698
200,0.5,0.4,8,"Uniform",0,0
200,0.5,0.4,8,"Central",0.0686,0.00357474586509307
200,0.5,0.4,8,"Tail",0.0394,0.00275127752144345
200,0.75,0.05,1,"Uniform",0,0
200,0.75,0.05,1,"Central",0.0262,0.00225891832521674
200,0.75,0.05,1,"Tail",0.0908,0.00406338184275118
200,0.75,0.05,2,"Uniform",0,0
200,0.75,0.05,2,"Central",0.0284,0.00234918879615922
200,0.75,0.05,2,"Tail",0.0846,0.00393555180375002
200,0.75,0.05,3,"Uniform",0,0
200,0.75,0.05,3,"Central",0.0288,0.00236518751899294
200,0.75,0.05,3,"Tail",0.1,0.00424264068711928
200,0.75,0.05,5,"Uniform",0,0
200,0.75,0.05,5,"Central",0.028,0.00233306665142683
